alpha_source_65_69,alpha_target_70_74,rmse,mae,max_abs_error,median_abs_error
0.15,0.17,13805.988368415914,13598.969416999083,16669.103582906595,13264.204624734703
0.235,0.275,13897.92300317297,13714.234416999077,16717.728582906595,13130.269624734705
0.21,0.185,13901.584720817464,13790.435583000906,15684.389956644096,14231.485375265242
0.275,0.265,13938.803435297139,13838.962249667617,15488.314956644143,14470.230375265295
0.17,0.195,13962.378298036198,13762.761083665711,16820.63858290657,13369.014624734642
0.19,0.16,14067.444286370153,13954.227249667592,15919.419956644066,14336.295375265297
0.255,0.24,14104.096145799163,14002.753916334283,15723.344956644112,14575.040375265293
0.19,0.22,14119.141571223818,13926.552750332397,16972.173582906602,13473.824624734698
0.125,0.14,14184.955007265373,13975.07941699907,17075.083582906635,13712.569624734693
0.17,0.135,14233.45979768593,14118.018916334297,16154.449956644094,14441.105375265353
0.235,0.215,14269.557562664373,14166.54558300093,15958.37495664414,14679.85037526529
0.21,0.245,14276.265889272221,14090.344416999045,17123.708582906518,13578.634624734696
0.145,0.165,14341.231239789515,14138.871083665756,17226.618582906667,13817.379624734749
0.23,0.27,14433.739461286043,14254.136083665731,17275.24358290655,13683.444624734693
0.215,0.19,14435.181884568947,14330.337249667597,16193.40495664411,14784.660375265288
0.28,0.27,14473.092868387605,14378.863916334269,15997.329956644098,15023.405375265284
0.165,0.19,14497.873514768795,14302.662750332383,17378.153582906583,13922.189624734689
0.195,0.165,14600.963567831166,14494.128916334264,16428.43495664408,14889.470375265286
0.26,0.245,14638.320741381223,14542.655583000955,16232.359956644126,15128.21537526534
0.185,0.215,14654.870094596725,14466.45441699905,17529.688582906558,14026.999624734686
0.12,0.135,14720.318101793457,14514.981083665742,17632.598582906532,14265.74462473474
0.175,0.14,14766.897312564619,14657.92058300091,16663.464956644108,14994.280375265284
0.24,0.22,14803.712680955428,14706.447249667623,16467.389956644154,15233.025375265279
0.205,0.24,14812.209713304988,14630.246083665717,17681.22358290659,14131.809624734684
0.14,0.16,14876.84307914289,14678.77275033237,17784.133582906565,14370.55462473468
